,points,1_1_p,1_2_p,1_3_p,2_1_p,2_2_p,2_3_p,1_1_r_C,1_1_r_L,1_1_r_O,1_1_r_S,1_1_r_W,1_2_r_C,1_2_r_L,1_2_r_O,1_2_r_S,1_2_r_W,1_3_r_2L,1_3_r_2S,1_3_r_2W,1_3_r_3G,1_3_r_C,1_3_r_D,1_3_r_L,1_3_r_O,1_3_r_S,1_3_r_W,2_1_r_C,2_1_r_L,2_1_r_O,2_1_r_S,2_1_r_W,2_2_r_2O,2_2_r_C,2_2_r_L,2_2_r_O,2_2_r_S,2_2_r_W,2_3_r_2C,2_3_r_2L,2_3_r_2O,2_3_r_2S,2_3_r_2W,2_3_r_3G,2_3_r_B,2_3_r_C,2_3_r_D,2_3_r_L,2_3_r_O,2_3_r_S,2_3_r_W
0,5,0.1389,0.0556,0.0556,0.1111,0.0833,0.0556,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,9,0.1111,0.1389,0.0833,0.0833,0.1111,0.0556,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,10,0.1111,0.1389,0.0278,0.1389,0.0833,0.0556,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,5,0.1389,0.1111,0.0556,0.0833,0.1389,0.0833,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,10,0.1389,0.1111,0.0833,0.1389,0.0833,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,6,0.1111,0.1389,0.0833,0.1389,0.0833,0.0556,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,4,0.1111,0.1389,0.0556,0.1111,0.1111,0.0833,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
7,9,0.0833,0.1111,0.0556,0.1389,0.0833,0.0556,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,5,0.1111,0.0833,0.0833,0.1389,0.0556,0.0556,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,10,0.1111,0.1389,0.0833,0.0833,0.1111,0.0556,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
10,7,0.1389,0.1111,0.0556,0.1389,0.0833,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,7,0.1111,0.1389,0.0556,0.1389,0.0833,0.0556,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,7,0.1111,0.1389,0.0556,0.1389,0.0556,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,10,0.1389,0.1111,0.0556,0.1111,0.1389,0.0833,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,9,0.1111,0.0833,0.0556,0.0833,0.1389,0.0833,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,9,0.1111,0.1111,0.0833,0.1389,0.0833,0.0556,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,8,0.1389,0.1111,0.0833,0.1389,0.0833,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,10,0.1111,0.1389,0.0556,0.1111,0.1111,0.0833,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,3,0.1389,0.0833,0.0556,0.1111,0.0556,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,7,0.1111,0.1389,0.0833,0.0833,0.1111,0.0278,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,6,0.1111,0.1389,0.0833,0.1389,0.0556,0.0278,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,6,0.1111,0.1389,0.0556,0.1389,0.0833,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,6,0.1389,0.1111,0.0833,0.0833,0.1111,0.0556,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
